epoch total_packet_count true_cardinality
1 613142 67005
2 614058 67447
3 620565 67339
4 609386 67128
5 627142 67356
6 607383 67850
7 627033 67865
8 621857 67384
9 630946 67569
10 607505 67102
11 623647 68498
12 643288 67423
13 627557 67251
14 628302 67095
15 614298 66940
16 633164 66236
17 606625 65759
18 619637 65177
19 642390 65718
20 629655 66086
21 629538 65939
22 614646 66007
23 607283 66113
24 611080 65917
25 607051 66426
26 606985 66178
27 623683 65831
28 626813 65811
29 638169 66369
30 613259 66329
31 617451 66070
32 618126 66134
33 613538 66201
34 622411 65502
35 623694 65737
36 636016 65529
37 635219 65743
38 635236 65056
39 652180 65609
40 633855 64925
41 618963 65385
42 622495 66012
43 629080 65966
44 617603 65502
45 619992 64999
46 620009 65614
47 627650 66560
48 627721 66041
49 619625 65950
50 610784 66106
51 622103 67095
52 610754 66735
53 609791 65609
54 623549 65792
55 628309 65724
56 612647 65916
57 614349 66011
58 614518 65728
59 646210 66659
60 618416 66325
