epoch dstIP_top1_packet_count
1 2061
2 2038
3 2069
4 2060
5 2048
6 1969
7 2096
8 2029
9 2135
10 2223
11 2104
12 2060
13 2025
14 2095
15 2056
16 2113
17 2065
18 1974
19 2055
20 2011
21 2060
22 1934
23 1965
24 2061
25 2035
26 2010
27 2069
28 2027
29 2071
30 2085
31 2081
32 2048
33 2018
34 2041
35 2050
36 1938
37 2111
38 2017
39 2133
40 2135
41 2037
42 2047
43 2072
44 2022
45 2103
46 2061
47 2056
48 2096
49 1928
50 2140
51 2106
52 2037
53 2034
54 2183
55 2041
56 2035
57 2039
58 1984
59 2060
60 2066
