epoch total_packet_count true_entropy univmon_entropy relative_error(%)
1 999936 17.326716 18.424655 6.34
2 1014130 17.289119 16.973594 1.82
3 981611 17.380992 18.233942 4.91
4 1036667 17.276376 17.497754 1.28
5 1049947 17.282125 16.343856 5.43
6 1018043 17.366986 15.897972 8.46
7 1038956 17.356647 17.319284 0.22
8 1025751 17.333578 16.454999 5.07
9 1054448 17.333142 17.335568 0.01
10 1044576 17.255285 16.823274 2.50
11 1037602 17.335472 16.969207 2.11
12 1043240 17.351230 17.261067 0.52
13 1044868 17.423739 16.708956 4.10
14 1064862 17.321450 16.094648 7.08
15 1021409 17.343913 17.938125 3.43
16 1002772 17.308905 16.936809 2.15
17 991598 17.364608 17.149347 1.24
18 1033568 17.261456 17.513472 1.46
19 1042722 17.289476 16.197750 6.31
20 1113285 17.387485 16.514091 5.02
21 1047140 17.285303 16.509191 4.49
22 1046442 17.297446 15.199615 12.13
23 1013701 17.281799 16.651524 3.65
24 991594 17.333525 17.503985 0.98
25 1003165 17.313066 18.156578 4.87
26 993903 17.291742 16.208589 6.26
27 1008387 17.252163 17.638337 2.24
28 1004641 17.302027 18.245832 5.45
29 1003938 17.277664 16.232760 6.05
30 996095 17.281669 17.236048 0.26
31 976039 17.301720 17.279704 0.13
32 959776 17.350905 16.853190 2.87
33 1012574 17.280130 15.349134 11.17
34 992385 17.295725 20.043076 15.88
35 990588 17.303894 17.480465 1.02
36 973520 17.283845 16.751697 3.08
37 1000400 17.236495 15.966003 7.37
38 1012566 17.255066 16.207427 6.07
39 991814 17.239018 17.040619 1.15
40 996395 17.263808 16.153504 6.43
41 990175 17.282773 18.622787 7.75
42 1009644 17.262064 18.090537 4.80
43 1020067 17.289184 15.617802 9.67
44 1019894 17.193207 18.154022 5.59
45 1009078 17.245719 16.767177 2.77
46 975190 17.276493 15.867802 8.15
47 958538 17.304538 17.021974 1.63
48 985615 17.288505 16.163700 6.51
49 1002701 17.325971 16.524183 4.63
50 1007923 17.309825 17.504103 1.12
51 1029934 17.256881 16.908959 2.02
52 1007604 17.312752 17.107825 1.18
53 998633 17.293993 17.716199 2.44
54 1003014 17.239922 19.016748 10.31
55 1021944 17.238556 20.062367 16.38
56 1000005 17.251094 15.883945 7.92
57 1000939 17.226523 17.069678 0.91
58 1015693 17.262983 16.934860 1.90
59 1044620 17.216459 18.268869 6.11
60 1061478 17.170453 16.201098 5.65
