maximum_stage 9
hash_dist_unit 7
salu 1
map_ram 2
sram 0
tcam 0
                            [hashDistUnitVar]  1  2  3  4  5  6  7  8  9
------------------------------------------------------------------------
                            sketching_1_table  0  0  0  0  0  0  0  0  1
                          hll_h1_compute_hash  1  0  0  0  0  0  0  0  0
                          hll_h2_compute_hash  0  1  0  0  0  0  0  0  0
                          hll_h3_compute_hash  0  0  1  0  0  0  0  0  0
                          hll_h4_compute_hash  0  0  0  1  0  0  0  0  0
                          hll_h5_compute_hash  0  0  0  0  1  0  0  0  0
                          hll_h6_compute_hash  0  0  0  0  0  1  0  0  0
                          set_level_1_1_table  0  0  0  0  0  0  0  0  0
                          set_level_1_2_table  0  0  0  0  0  0  0  0  0
                          set_level_1_3_table  0  0  0  0  0  0  0  0  0
                          set_level_1_4_table  0  0  0  0  0  0  0  0  0
                          set_level_1_5_table  0  0  0  0  0  0  0  0  0
                          set_level_1_6_table  0  0  0  0  0  0  0  0  0
                          set_level_1_7_table  0  0  0  0  0  0  0  0  0
                                 _condition_0  0  0  0  0  0  0  0  0  0
                                 _condition_1  0  0  0  0  0  0  0  0  0
                                 _condition_2  0  0  0  0  0  0  0  0  0
                                 _condition_3  0  0  0  0  0  0  0  0  0
                                 _condition_4  0  0  0  0  0  0  0  0  0
                                 _condition_5  0  0  0  0  0  0  0  0  0
                                 _condition_6  0  0  0  0  0  0  0  0  0
                                 _condition_7  0  0  0  0  0  0  0  0  0
                                 _condition_8  0  0  0  0  0  0  0  0  0
                                 _condition_9  0  0  0  0  0  0  0  0  0
                                _condition_10  0  0  0  0  0  0  0  0  0
                                _condition_11  0  0  0  0  0  0  0  0  0
------------------------------------------------------------------------
                  [hashDistUnitVar] TOTAL SUM  1  1  1  1  1  1  0  0  1
------------------------------------------------------------------------

                                    [saluVar]  1  2  3  4  5  6  7  8  9
------------------------------------------------------------------------
                            sketching_1_table  0  0  0  0  0  0  0  0  1
                          hll_h1_compute_hash  0  0  0  0  0  0  0  0  0
                          hll_h2_compute_hash  0  0  0  0  0  0  0  0  0
                          hll_h3_compute_hash  0  0  0  0  0  0  0  0  0
                          hll_h4_compute_hash  0  0  0  0  0  0  0  0  0
                          hll_h5_compute_hash  0  0  0  0  0  0  0  0  0
                          hll_h6_compute_hash  0  0  0  0  0  0  0  0  0
                          set_level_1_1_table  0  0  0  0  0  0  0  0  0
