[797598975, 2512676366]
[2064811762, 1302343609]
[4294967295, 3377741601]
[1150193815, 4251111620]
[2501466496, 3463482453]
[4294967295, 3905203886]
[2497486633, 1512235569]
[4294967295, 3463480367]
[1150168411, 2496604944]
[2595885454, 1041642206]
[1293953137, 1043285881]
[4294967295, 3462490824]
[1063862761, 549537808]
[4294967295, 2369374169]
[4294967295, 772529930]
[4294967295, 1310442676]
[4294967295, 3895935543]
[4294967295, 4294967295]
[2186353840, 1516002991]
[3771548840, 1047950760]
[4294967295, 3458009699]
[4294967295, 2497198307]
[2255259830, 1015525260]
[4294967295, 1290047726]
[4294967295, 1000059785]
[3084348288, 1044061112]
[4294967295, 3895399212]
[4294967295, 3907274802]
[666526307, 1066650619]
[809408251, 1150157844]
[1360353044, 3908551586]
[4294967295, 3149635725]
[1150168385, 2568633660]
[776525802, 3175029539]
