[3085294785, 772528858]
[3771548896, 827255932]
[3005359099, 808932531]
[957972899, 591393816]
[3456409285, 3149635594]
[4072851855, 3894329830]
[1300362090, 1523997759]
[3124617381, 812925706]
[1302942998, 1118238879]
[1295004451, 3380592502]
[2609361043, 1066650589]
[1588147322, 1150168568]
[3145079767, 885509323]
[1063862692, 881139877]
[2191123990, 1066650552]
[2522078780, 1066650553]
[1294884061, 812926695]
[3463743104, 3457728033]
[1478895826, 3457771182]
[2427391234, 1978065799]
[1668094418, 1150181300]
[1150168419, 2497185020]
[1063862753, 3445778908]
[762399265, 1042084377]
[3135467748, 1150157842]
[3136152926, 3907275347]
[3771548840, 1047950760]
[1294224660, 2369372889]
[3087288403, 812925706]
[1150191271, 3076799096]
[2497486732, 1512235569]
[654923427, 1063256098]
[1291071376, 977403810]
[3456389348, 905684087]
[3173597597, 1150181268]
[1348391127, 1150157886]
[1053863782, 3076799077]
[868826951, 1150168526]
[2368940445, 3208669888]
[666526307, 1066650619]
[3904099291, 1066650496]
[1668094419, 1150181241]
[1063863081, 3445781741]
[631448197, 3463480366]
[3456407790, 956747486]
[1523546202, 2131276977]
