[3525143280, 59723]
[66868280, 4104]
[1242538966, 49826]
[1166193526, 11280]
[1875764466, 24349]
[2846865560, 52564]
[1875764440, 32510]
[3326272516, 54573]
[736141152, 18393]
[1714137372, 443]
[16960606, 30000]
[1711523749, 49746]
[26934423, 80]
[2579592678, 44129]
[382666506, 50160]
[1185945869, 53812]
[66651019, 443]
[22641916, 9339]
[1875764437, 8888]
[1875764351, 46183]
[26884736, 16969]
[3722027607, 23025]
[736935110, 80]
[381670663, 23033]
[2846857022, 60794]
[1257174401, 54213]
[3504996255, 4900]
[1099793570, 9050]
[379945382, 5900]
[19915623, 443]
[3349609558, 17775]
[1797205899, 80]
[1156179191, 55544]
[3710835729, 52695]
[66885464, 2118]
[1281239140, 39286]
[379937050, 30421]
[22137973, 443]
[2579592501, 53829]
[19280820, 42818]
[2638135709, 23]
[1274239090, 15486]
[1759065311, 23]
[958607447, 43703]
[3326272516, 24499]
[66655993, 80]
[1245016217, 782]
[3722030814, 58647]
[1099823844, 49380]
[1712240428, 6869]
[378365594, 46340]
[1797069624, 3682]
[373211834, 61957]
[2579592658, 45768]
[3377653188, 52369]
[3326272515, 10107]
[1875764431, 50601]
[379915117, 5900]
[66651067, 443]
[2705656054, 4409]
[2634948031, 443]
[2579592678, 60237]
[1158473831, 443]
[1115887906, 57313]
[1875760331, 46189]
[112398602, 26997]
[2641442758, 7666]
[2579574596, 47679]
[372531726, 26183]
[379958441, 5900]
[1156179191, 23296]
[23483665, 443]
[379622495, 48768]
[3388068796, 33054]
[372400919, 60815]
[24969112, 80]
[3547001406, 54066]
[3326272515, 37233]
[23108361, 443]
[2641442801, 9004]
[3547001404, 56091]
[1875764366, 51762]
[1698222585, 35393]
[24961857, 80]
[1875764437, 60510]
[20587448, 80]
[3376295623, 37149]
[3348425301, 16001]
[23125906, 443]
[3547001404, 40974]
[65829918, 80]
[1156179191, 62515]
[372423577, 21077]
[98849775, 40513]
[66698671, 80]
[3547001420, 51740]
[3547001370, 50331]
[3674909677, 38686]
[1864747450, 57144]
[2472877543, 80]
[2579574467, 9050]
[2298568741, 9042]
[3506605871, 46199]
[3693459033, 53994]
[1176317631, 30405]
[372737361, 59848]
[1760528567, 58465]
[1875764363, 8888]
[2310437796, 31365]
[66904056, 80]
[1179486189, 33442]
[1185949691, 51749]
[66650974, 4244]
[1875764366, 53399]
[1760528574, 60634]
[1156179191, 8153]
[3531647030, 50956]
[372737487, 59938]
[3326272516, 40985]
[16940857, 56611]
[385467914, 47018]
[23427168, 3478]
[2579592678, 34655]
[378610326, 35851]
[24952553, 443]
[2579592693, 33594]
[1102556520, 443]
[1274242207, 57788]
[23566711, 40246]
[1156179191, 58676]
[2579574626, 61447]
[99655462, 1863]
[300601120, 161]
[1807548012, 32196]
[3327712113, 20724]
[3504996348, 47599]
[383064695, 13645]
[1875712485, 22122]
[1875764369, 1194]
[371732710, 11627]
[1875764476, 2595]
[3530312536, 35957]
[3547001404, 53583]
[1875764384, 8345]
[721998398, 443]
[379923890, 5900]
[383449543, 123]
[23380239, 80]
[23476632, 80]
[1875712468, 57229]
[1230761472, 80]
[1758552940, 34051]
[958611450, 50227]
[19294160, 54115]
[23517601, 443]
[2846879396, 49905]
[2450082558, 62528]
[66650817, 4244]
[737087505, 80]
[66793284, 443]
[65825643, 3333]
[1148888370, 443]
[372300345, 10556]
[3328295745, 62030]
[731105611, 80]
[1760528555, 65527]
[2579574523, 65216]
[1760528550, 60557]
[19797991, 42572]
[2579574720, 38284]
[1178040330, 8999]
[3328302446, 1900]
[3693459033, 56926]
[58996048, 16637]
[3324356962, 15686]
[724248623, 21196]
[3515791073, 44014]
[26871500, 21058]
[3530318041, 12489]
[377530794, 11785]
[19060200, 30000]
[385150748, 48134]
[381773074, 39536]
[373261277, 18688]
[26353201, 443]
[379915673, 5900]
[2766477241, 13174]
[2439504953, 80]
[3710835936, 80]
[3526528057, 443]
[379958316, 5900]
[383686188, 55533]
[1875764457, 52031]
[2450082436, 18241]
[65996598, 49587]
[1115822774, 43405]
[1156179191, 36897]
[1225248806, 44098]
[1875764631, 38035]
[19196471, 3724]
[99871498, 80]
[3326272516, 62987]
[26340609, 8253]
[3504995921, 33031]
[1712240041, 25]
[1264216460, 19978]
[1130401098, 58284]
[234342072, 11999]
[20587267, 80]
[24906387, 80]
[2471215639, 51503]
[369912955, 53413]
[20985949, 25]
[1737794264, 50752]
[2579592510, 64012]
[1264216460, 62326]
[736923758, 443]
[385639690, 23]
[731118612, 39382]
[3504996255, 49257]
[23813877, 443]
[2300585916, 3618]
[2579574356, 57689]
[378704990, 23158]
[2298517542, 54509]
[1227071010, 45743]
[724248622, 64279]
[657950120, 53]
[1156179191, 18189]
[1130565603, 60155]
[1875764410, 44198]
[662215164, 49026]
[1264216460, 36757]
[1760528619, 52306]
[737993102, 80]
[724248746, 443]
[380900395, 36115]
[3545039360, 7944]
[2579592678, 60251]
[23111626, 443]
[3710835949, 80]
[3324347227, 64898]
[2846858973, 50576]
[2579574603, 56954]
[731109746, 80]
[1864747029, 26992]
[2774294404, 43406]
[26538969, 80]
[1875712472, 50015]
[23111464, 443]
[2439486366, 50507]
