[804529922, 5525]
[1304314972, 48568]
[3462474094, 80]
[2247086664, 58652]
[2568633662, 25934]
[869177665, 40588]
[3136156376, 39129]
[3450700450, 60439]
[772482450, 59328]
[969417006, 34296]
[878214437, 24650]
[1523584313, 53]
[1044061107, 32340]
[906391226, 9287]
[3450713902, 50998]
[1404317179, 4269]
[2568633652, 21824]
[1301209923, 33014]
[2131396240, 51546]
[1301255069, 56772]
[3378063672, 80]
[2422027515, 62365]
[3450703784, 1266]
[3450755050, 15561]
[655098679, 80]
[1412183698, 65514]
[839630034, 53]
[3894987679, 54974]
[878206151, 49537]
[1118238817, 5600]
[3895938419, 80]
[1300677970, 60026]
[3015592347, 49498]
[3450813795, 65359]
[856521956, 443]
[3463856132, 45980]
[1928453210, 22]
[1773838064, 28561]
[3199852862, 60007]
[1486651079, 49624]
[957980262, 2958]
[3908534697, 80]
[2369129838, 80]
[1773832085, 53]
[2650641633, 63313]
[662956791, 443]
[2631343480, 65329]
[938402937, 36490]
[3331802896, 54195]
[2955958178, 51896]
[3450772650, 50134]
[549543103, 61170]
[2504335743, 58027]
[989807233, 48761]
[1588724137, 60385]
[3212864369, 53]
[1290097280, 80]
[3460849179, 63271]
[1304342481, 39175]
[2247086713, 55053]
[1061328590, 1935]
[1300716849, 52098]
[1466892649, 26565]
[1404504670, 50497]
[2497344142, 27974]
[957980365, 54769]
[2497332855, 27633]
[2497336799, 11592]
[2369129243, 80]
[2497202722, 16159]
[3047849946, 55986]
[2568633620, 48683]
[906391189, 8380]
[1304342486, 57188]
[3851877129, 35441]
[1300706914, 17113]
[3450827562, 1726]
[880011167, 40958]
[776763468, 13240]
[3450710115, 51413]
[1438351641, 49158]
[2568632068, 47913]
[957980258, 39386]
[1523695204, 30906]
[3191666162, 65273]
[3450771826, 12206]
[4185464586, 49709]
[1514187045, 13940]
[3450789353, 51151]
[1523690344, 38870]
[885687109, 55018]
[3378051749, 80]
[3584906358, 49183]
[1150181260, 62811]
[3450769993, 49372]
[2624276169, 51473]
[1310396019, 54351]
[2819258139, 12090]
[1069773393, 54637]
[880011167, 26081]
[1666605184, 50942]
[957980397, 11491]
[1301132471, 45257]
[3149635620, 62334]
[1523695203, 46638]
[1553122956, 21666]
[1808983586, 25]
[2497224037, 65363]
[3084347948, 31489]
[3050195173, 51417]
[2568633708, 37844]
[3457496543, 64063]
[2346195880, 52701]
[2650641647, 29847]
