[2197849151, 3257308997]
[132786064, 2339489223]
[791678707, 855482157]
[515339922, 1235594531]
[2571612637, 3233170530]
[2087007442, 2270145425]
[2359938929, 1962334000]
[1593195219, 2059628448]
[2207109893, 855551171]
[1763964425, 3452628863]
[3280424820, 2324912412]
[1068450838, 3617763138]
[1333369714, 4215905016]
[3436526578, 3560985210]
[1815017436, 3484881618]
[1842518540, 3454988061]
[3320803312, 2317285590]
[1639796043, 1235566839]
[541068164, 3336844032]
[3320803312, 3223165571]
[793869407, 3978971484]
[357843875, 271618246]
[1053814763, 3474255299]
[266795606, 3451132108]
[227261261, 3447595242]
[2334931642, 3623829229]
[2359200342, 2339489110]
[1274658513, 1962400198]
[3880833497, 3443980858]
[34680245, 3349685217]
[3314970065, 3571699142]
[569173433, 3255952425]
[3527235256, 3455736346]
[2275954328, 1074109384]
[3364249215, 3617630263]
[738714579, 3453511614]
[1748337821, 3453188632]
[1830458572, 3450316784]
[1053794385, 3571859391]
[3246558458, 3558799556]
[361305439, 271618279]
[3905113433, 3445811533]
[564886009, 2339489141]
[1362725551, 2059628448]
[2106719520, 1074109323]
[4068511069, 3336900217]
[1671187207, 3223261224]
[2106675617, 3618088582]
[383713727, 2332394880]
[2291615344, 3451180813]
[3714466661, 2340446892]
[3905113433, 3455741400]
[2179751717, 3334601201]
[1879102966, 4030665709]
[2359200461, 2339489119]
[2510769871, 2270145487]
[517385554, 3607989781]
[795709583, 3978971488]
[979078741, 3347704463]
[4169061005, 4223963902]
[3584893397, 3256842418]
[3525777064, 3617630613]
[2377634749, 3474255168]
[790750527, 1962334025]
[2206634729, 4101993998]
[2209280785, 3978971488]
[2339726831, 3453189258]
[278262515, 3608907114]
[3978970931, 3978971494]
[2135140241, 3337740457]
[2005170341, 3259079408]
[2359200342, 1074109366]
[739856165, 3978971498]
[3905113433, 3474255055]
[1542036685, 3441433519]
[504322915, 3473485904]
[795717928, 3978971491]
[233429187, 3338137941]
[46379266, 3337850049]
[1698345815, 3306297049]
[227261261, 3348701747]
[283919516, 2339489098]
[1116241524, 3453189261]
[283919490, 2339489094]
[742692555, 3352341217]
[1513996385, 3348687018]
[132742280, 1962334045]
[3470050806, 3680303905]
[3672241734, 1962334002]
[2106719520, 1074109393]
[2275268875, 4104016893]
[1653549040, 4030724617]
[816203433, 3450273450]
[3427364754, 854831634]
[38415259, 2340824790]
[1694107630, 3474235167]
[743827409, 3336890001]
[816301663, 3474332655]
[2310683923, 1235570503]
[2503330167, 842648993]
[2571612654, 4030724875]
[2106719522, 1074109393]
[3905119643, 3455737112]
[3526446485, 1962400150]
[824209428, 3447539004]
[431975662, 3449106332]
[3880833507, 3607985050]
[2492042818, 4225200978]
[1053410335, 3453634568]
[1221091112, 3255951659]
[42514577, 3223259426]
[1177551545, 3352312625]
[795107592, 3978971486]
[3585740842, 855041877]
[752768806, 4041960749]
[3318739404, 3349745346]
[1341939410, 2324911280]
[281404179, 3571699706]
[742370295, 3353383813]
[618532475, 3223264490]
[1293494488, 3257309330]
[1700671545, 3452102309]
[3997140488, 3447630549]
[285066098, 2339489098]
[564858066, 271618247]
[1067626245, 2270145487]
[3672239244, 1962334002]
[58883789, 3336904827]
[1190350566, 3447677655]
[2353177135, 2338150774]
[740028307, 3448447565]
[2510559548, 3334582908]
[47126358, 3453556715]
[3276605786, 3446797570]
[280167478, 1074109359]
[816200686, 3455740035]
[2475617045, 843145775]
[2146575407, 2339489223]
[284310805, 3449079499]
[360218104, 3223257245]
[4040068779, 4102003823]
[2381068838, 3890314079]
[2048614333, 4218177405]
[3672181052, 271618201]
[2285203151, 846936845]
[738798138, 3352313278]
[3320803321, 3223159991]
[1468755276, 4218180964]
[3318356321, 4211123790]
[2503331565, 3454418501]
[835718978, 3338410208]
[2270403336, 3474254029]
[564858030, 3348708651]
[1638199026, 3338629058]
[2280868601, 3474433925]
[1498654447, 3306296607]
[2177366176, 3890314058]
[3766937890, 3455693967]
[1264312156, 3978971498]
[2514324542, 3484915068]
[3318356856, 4095691079]
[1963665623, 3453645113]
[1426711405, 3618099147]
[3526439052, 1074109358]
[1286693761, 3442985308]
[3672219997, 1962333988]
[3880833509, 3233172419]
[551007949, 3255953266]
[2197879034, 3978971488]
[45613471, 3349747992]
[283699781, 1074109367]
[740442217, 3472997530]
[752752172, 3978971497]
[3746566025, 3890314078]
[517385503, 3338480325]
[2480767754, 3349929458]
[1489018634, 3890314034]
[3291982920, 3451524013]
[3905113534, 3571699084]
[1748337805, 2339489129]
[817193694, 283381743]
[1845451452, 3258151312]
[743749489, 3447681372]
[2005170340, 3223204136]
[2270149105, 3617732983]
[3467310938, 843146633]
[1177565990, 3445811242]
[2209280785, 3978971490]
[1056041134, 842932713]
[2492059301, 3453500655]
[1518216230, 3222708465]
[549422116, 3348719755]
[3690457965, 855083834]
[1053372077, 3334722308]
[1885357020, 3348686346]
[2474168419, 3347703686]
[1116299045, 3455004959]
[957675154, 843184850]
[3370031415, 3233166929]
